pattern_name,category,problem_tags,description,key_widgets,code_snippet,anti_pattern
Shared Preferences Helper,Data,"storage, local, config, lưu cấu hình","Lớp bao (Wrapper) để lưu trữ key-value đơn giản (token, theme, language).","shared_preferences","class Prefs { static late SharedPreferences _prefs; static Future init() async => _prefs = await SharedPreferences.getInstance(); static String? getToken() => _prefs.getString('token'); }","Dùng SharedPreferences để lưu dữ liệu lớn hoặc danh sách phức tạp (json)."
Debounced Button (Throttling),UI/UX,"button, click, spam, chống spam click","Ngăn người dùng bấm nút liên tục gây gọi API nhiều lần (Throttling).","GestureDetector","bool _isLoading = false; void _onPress() async { if (_isLoading) return; setState(() => _isLoading = true); await submit(); setState(() => _isLoading = false); }","Không vô hiệu hóa nút (disable) hoặc hiện loading khi đang xử lý."
Dio Interceptor (Logging/Auth),Architecture,"api, http, token, refresh token, log","Tự động đính kèm Token vào header và log request/response.","dio","dio.interceptors.add(InterceptorsWrapper( onRequest: (options, handler) { options.headers['Authorization'] = 'Bearer $token'; return handler.next(options); } ));","Viết logic thêm header lặp đi lặp lại ở mọi nơi gọi API."
Json Serializable (Freezed),Data,"model, json, parse, immutable, dữ liệu","Tự động sinh code for JSON parsing và copyWith, giúp model bất biến.","freezed, json_annotation","@freezed class User with _$User { const factory User({required String id, required String name}) = _User; factory User.fromJson(Map<String, dynamic> json) => _$UserFromJson(json); }","Viết tay `fromJson` và `toJson` dễ sai sót chính tả và kiểu dữ liệu."
Repository Pattern,Architecture,"architecture, data layer, clean code, cấu trúc","Tách biệt logic gọi dữ liệu (API/Local) khỏi UI và Business Logic.","Repository Class","class UserRepository { final DioClient _client; UserRepository(this._client); Future<User> getUser() async { final res = await _client.get('/user'); return User.fromJson(res.data); } }","Gọi trực tiếp `http.get` trong Widget hoặc Controller."
Dependency Injection (GetIt),Architecture,"di, locator, service, tiêm phụ thuộc","Quản lý các instance singleton (API, Auth, Repo) để truy cập mọi nơi.","get_it","final getIt = GetIt.instance; void setup() { getIt.registerLazySingleton(() => AuthRepository()); } // Usage: getIt<AuthRepository>().login();","Truyền dependencies qua constructor của quá nhiều tầng widget."
GoRouter Nested Navigation,Navigation,"navigation, bottom bar, nested, điều hướng lồng","Cấu hình BottomNavigationBar vẫn giữ nguyên khi chuyển trang con bên trong tab.","go_router, ShellRoute","ShellRoute( builder: (context, state, child) => Scaffold(body: child, bottomNavigationBar: MyNavBar()), routes: [ GoRoute(path: '/home', builder: ...), GoRoute(path: '/profile', builder: ...) ] )","Dùng `CupertinoTabScaffold` cho Android hoặc tự quản lý `IndexedStack` quá phức tạp."
Riverpod AsyncValue Handling,State Management,"riverpod, async, loading, error, state","Xử lý 3 trạng thái của dữ liệu bất đồng bộ (Loading, Data, Error) gọn gàng.","flutter_riverpod","ref.watch(userProvider).when( data: (user) => UserView(user), loading: () => const CircularProgressIndicator(), error: (err, stack) => Text('Error: $err'), );","Dùng biến `isLoading` và `errorMessage` riêng lẻ trong State class thủ công."
Bloc Event-State Pattern,State Management,"bloc, state, event, luồng dữ liệu","Mẫu thiết kế Bloc chuẩn: UI gửi Event -> Bloc xử lý -> Bloc emit State mới.","flutter_bloc","on<FetchData>((event, emit) async { emit(Loading()); try { final data = await repo.get(); emit(Loaded(data)); } catch (e) { emit(Error(e)); } });","Emit state mới ngay trong UI thay vì gửi Event."
Isolate Computation,Performance,"thread, background, heavy task, đa luồng","Chạy tác vụ nặng (parse JSON lớn, xử lý ảnh) trên luồng riêng để không chặn UI.","compute","final result = await compute(heavyCalculation, data); // heavyCalculation must be a static or top-level function","Thực hiện vòng lặp lớn hoặc decode JSON MBs ngay trên Main Thread."
Custom Font Loading,UI/UX,"font, typography, google fonts, phông chữ","Sử dụng Google Fonts hoặc custom font file.","google_fonts","Text('Hello', style: GoogleFonts.lato(textStyle: TextStyle(fontSize: 20)));","Import file ttf nhưng quên khai báo trong `pubspec.yaml`."
SVG Icon Rendering,UI/UX,"image, vector, icon, svg","Hiển thị ảnh vector SVG để sắc nét ở mọi độ phân giải.","flutter_svg","SvgPicture.asset('assets/icons/home.svg', color: Colors.blue, width: 24);","Dùng ảnh PNG cho các icon đơn sắc (bị vỡ khi scale)."
Lottie Animation,UI/UX,"animation, json, after effects, hoạt hình","Hiển thị animation phức tạp từ file JSON (xuất từ After Effects).","lottie","Lottie.asset('assets/anim/loading.json', repeat: true, reverse: true);","Dùng file GIF (dung lượng lớn, khó kiểm soát frame)."
SafeArea Usage,UI/UX,"notch, iphone x, padding, vùng an toàn","Tránh nội dung bị che bởi tai thỏ (notch) hoặc thanh điều hướng home ảo.","SafeArea","Scaffold( body: SafeArea( child: ContentWidget(), ), )","Hardcode `padding-top: 50` để tránh tai thỏ (sai trên các máy khác nhau)."
FittedBox Scaling,UI/UX,"text, scale, responsive, co giãn","Tự động thu nhỏ text hoặc widget để vừa khít container thay vì bị tràn (overflow).","FittedBox","Container( width: 100, child: FittedBox(fit: BoxFit.scaleDown, child: Text('Very Long Text')), )","Để Text bị lỗi sọc vàng đen (overflow) khi màn hình nhỏ."
Wrap Layout,UI/UX,"layout, chip, tag, xuống dòng","Sắp xếp các widget con (như tags) tự động xuống dòng khi hết chỗ.","Wrap","Wrap( spacing: 8.0, runSpacing: 4.0, children: tags.map((t) => Chip(label: Text(t))).toList(), )","Dùng `Row` và bị lỗi overflow khi danh sách tag quá dài."
AspectRatio Widget,UI/UX,"layout, ratio, video, tỷ lệ khung hình","Giữ tỷ lệ khung hình (16:9, 4:3) cho widget con bất kể kích thước cha.","AspectRatio","AspectRatio( aspectRatio: 16 / 9, child: VideoPlayer(), )","Tự tính chiều cao bằng `width * 9 / 16` (kém linh hoạt)."
Spacer & Expanded,UI/UX,"layout, flex, row, column, khoảng cách","Phân chia không gian trong Row/Column. Spacer tạo khoảng trống, Expanded chiếm phần còn lại.","Spacer, Expanded","Row(children: [Text('Left'), Spacer(), Text('Right')]); // Pushes text to edges","Dùng `MainAxisAlignment.spaceBetween` khi cần kiểm soát cụ thể khoảng cách giữa các phần tử."
LayoutBuilder (Conditional UI),UI/UX,"responsive, constraints, size check, điều kiện layout","Kiểm tra kích thước widget cha để render UI phù hợp (ẩn hiện cột).","LayoutBuilder","LayoutBuilder(builder: (context, constraints) { return constraints.maxWidth < 500 ? MobileView() : DesktopView(); });","Dùng `MediaQuery.of(context).size` (lấy kích thước màn hình thay vì kích thước widget cha)."
Orientation Builder,UI/UX,"rotate, landscape, portrait, xoay màn hình","Thay đổi layout khi xoay ngang/dọc thiết bị.","OrientationBuilder","OrientationBuilder( builder: (context, orientation) { return orientation == Orientation.portrait ? Column(...) : Row(...); } )","Không xử lý xoay màn hình, để UI bị vỡ khi ngang."
FutureBuilder (Simple Fetch),Logic,"async, future, api, load data, tải dữ liệu","Xây dựng UI dựa trên trạng thái của một Future (đơn giản, không cần Redux/Bloc).","FutureBuilder","FutureBuilder<Data>( future: getData(), builder: (context, snapshot) { if (snapshot.hasData) return Text(snapshot.data!.title); return CircularProgressIndicator(); } )","Gọi hàm tạo Future (ví dụ `getData()`) trực tiếp trong `builder` (khiến API gọi lại mỗi khi rebuild)."
StreamBuilder (Realtime),Logic,"async, stream, socket, realtime, thời gian thực","Cập nhật UI liên tục theo luồng dữ liệu (Firestore, WebSocket).","StreamBuilder","StreamBuilder<int>( stream: channel.stream, builder: (context, snapshot) => Text('Count: ${snapshot.data}'), )","Quên đóng stream (cancel subscription) khi widget bị hủy (nếu không dùng StreamBuilder)."
WillPopScope (Double Back to Exit),Navigation,"exit, back, thoát app, bấm 2 lần","Yêu cầu bấm Back 2 lần trong 2 giây để thoát app.","WillPopScope (Deprecated) -> PopScope","DateTime? currentBackPressTime; PopScope( canPop: false, onPopInvoked: (didPop) { final now = DateTime.now(); if (currentBackPressTime == null || now.difference(currentBackPressTime!) > Duration(seconds: 2)) { currentBackPressTime = now; toast('Press back again to exit'); return; } SystemNavigator.pop(); }, child: ... )","Không reset thời gian, khiến lần bấm sau bao lâu cũng thoát."
System Chrome (UI Overlay),UI/UX,"status bar, color, full screen, thanh trạng thái","Đổi màu thanh trạng thái (status bar) hoặc ẩn đi.","SystemChrome","SystemChrome.setSystemUIOverlayStyle(SystemUiOverlayStyle( statusBarColor: Colors.transparent, statusBarIconBrightness: Brightness.dark, ));","Đặt code này trong hàm `build` (gọi liên tục). Nên đặt ở `main` hoặc `initState`."
Wakelock (Keep Screen On),System,"screen, sleep, video, giữ màn hình sáng","Ngăn màn hình tự tắt khi đang xem video hoặc bản đồ.","wakelock_plus","WakelockPlus.enable(); // When dispose: WakelockPlus.disable();","Quên disable wakelock khi thoát màn hình, gây tốn pin."
QR Code Scanner,System,"camera, qr, barcode, quét mã","Quét mã QR hoặc Barcode.","mobile_scanner","MobileScanner( onDetect: (capture) { final List<Barcode> barcodes = capture.barcodes; // Handle code }, )","Không xử lý quyền Camera trước khi bật Scanner."
Date Picker Native,UI/UX,"date, calendar, input, chọn ngày","Mở hộp thoại chọn ngày chuẩn của hệ điều hành (Android/iOS).","showDatePicker","final date = await showDatePicker( context: context, initialDate: DateTime.now(), firstDate: DateTime(2000), lastDate: DateTime(2030), );","Dùng thư viện lịch quá nặng cho nhu cầu chọn ngày đơn giản."
Modal Bottom Sheet,UI/UX,"menu, options, dialog, menu dưới","Menu trượt từ dưới lên để chọn tác vụ.","showModalBottomSheet","showModalBottomSheet( context: context, builder: (context) => Wrap(children: [ListTile(title: Text('Edit')), ListTile(title: Text('Delete'))]), );","Để content quá dài mà không bọc trong `SingleChildScrollView` hoặc không set `isScrollControlled: true`."
Cached Network Image (Profile),UI/UX,"avatar, image, cache, circle, ảnh đại diện","Ảnh đại diện hình tròn có cache và fallback.","cached_network_image","CachedNetworkImage( imageUrl: url, imageBuilder: (context, provider) => CircleAvatar(backgroundImage: provider), placeholder: (context, url) => CircleAvatar(child: Icon(Icons.person)), )","Dùng `ClipRRect` bọc `Image.network` (hiệu năng kém hơn `CircleAvatar` hoặc `imageBuilder`)."
Page View (Onboarding),UI/UX,"slider, tutorial, swipe, hướng dẫn","Màn hình hướng dẫn vuốt ngang với các chấm chỉ mục (dots indicator).","PageView","PageView( controller: _controller, children: [Page1(), Page2(), Page3()], ); // Use external package like smooth_page_indicator for dots","Không tối ưu `PageController` hoặc để widget con quá nặng."
Video Player (Chewie),Media,"video, player, media, xem phim","Trình phát video với giao diện điều khiển (play/pause, seek).","chewie, video_player","Chewie( controller: ChewieController( videoPlayerController: VideoPlayerController.network(url), autoPlay: true, looping: true, ), )","Quên `dispose` VideoPlayerController gây rò rỉ bộ nhớ."
WebView (In-App Browser),System,"web, html, browser, duyệt web","Hiển thị trang web bên trong ứng dụng.","webview_flutter","WebViewController()..loadRequest(Uri.parse('https://google.com')); // Attach to WebViewWidget","Cho phép Javascript tùy tiện (`JavaScriptMode.unrestricted`) mà không kiểm soát bảo mật."
Google Maps Integration,System,"map, gps, location, bản đồ","Hiển thị bản đồ Google Maps và đánh dấu (marker).","google_maps_flutter","GoogleMap( initialCameraPosition: CameraPosition(target: LatLng(10.7, 106.6), zoom: 14), markers: {Marker(markerId: MarkerId('1'), position: LatLng(10.7, 106.6))}, )","Rebuild GoogleMap liên tục mà không dùng `Set<Marker>` (gây nháy marker)."
UUID Generation,Logic,"id, unique, key, định danh","Tạo chuỗi ID duy nhất cho các item mới.","uuid","var uuid = Uuid(); String id = uuid.v4();","Dùng `Random().nextInt()` làm ID (có thể trùng lặp)."
Intl Date Formatting,Logic,"date, time, format, định dạng ngày","Định dạng ngày tháng theo ngôn ngữ máy (dd/MM/yyyy).","intl","String formatted = DateFormat('dd/MM/yyyy HH:mm').format(DateTime.now());","Tự viết hàm ghép chuỗi ngày tháng (dễ sai logic múi giờ)."
Number Formatting (Currency),Logic,"money, currency, format, tiền tệ","Định dạng số tiền có dấu phẩy ngăn cách (1,000,000 VND).","intl","final currency = NumberFormat.currency(locale: 'vi_VN', symbol: '₫'); print(currency.format(1000000));","Dùng `toString()` và tự replace string."
