No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
49,Performance,Caching,Web,Repeat visits should be fast,Set appropriate cache headers,No caching strategy,Cache-Control headers,Every request hits server,Medium
50,Performance,Font Loading,Web,Web fonts can block rendering,Use font-display swap or optional,Invisible text during font load,font-display: swap,FOIT (Flash of Invisible Text),Medium
51,Performance,Third Party Scripts,Web,External scripts can block rendering,Load non-critical scripts async/defer,Synchronous third-party scripts,async or defer attribute,<script src='...'> in head,Medium
52,Performance,Bundle Size,Web,Large JavaScript slows interaction,Monitor and minimize bundle size,Ignore bundle size growth,Bundle analyzer,No size monitoring,Medium
53,Performance,Render Blocking,Web,CSS/JS can block first paint,Inline critical CSS defer non-critical,Large blocking CSS files,Critical CSS inline,All CSS in head,Medium
54,Forms,Input Labels,All,Every input needs a visible label,Always show label above or beside input,Placeholder as only label,<label>Email</label><input>,placeholder='Email' only,High
55,Forms,Error Placement,All,Errors should appear near the problem,Show error below related input,Single error message at top of form,Error under each field,All errors at form top,Medium
56,Forms,Inline Validation,All,Validate as user types or on blur,Validate on blur for most fields,Validate only on submit,onBlur validation,Submit-only validation,Medium
57,Forms,Input Types,All,Use appropriate input types,Use email tel number url etc,Text input for everything,type='email',type='text' for email,Medium
58,Forms,Autofill Support,Web,Help browsers autofill correctly,Use autocomplete attribute properly,Block or ignore autofill,autocomplete='email',autocomplete='off' everywhere,Medium
59,Forms,Required Indicators,All,Mark required fields clearly,Use asterisk or (required) text,No indication of required fields,* required indicator,Guess which are required,Medium
60,Forms,Password Visibility,All,Let users see password while typing,Toggle to show/hide password,No visibility toggle,Show/hide password button,Password always hidden,Medium
61,Forms,Submit Feedback,All,Confirm form submission status,Show loading then success/error state,No feedback after submit,Loading -> Success message,Button click with no response,High
62,Forms,Input Affordance,All,Inputs should look interactive,Use distinct input styling,Inputs that look like plain text,Border/background on inputs,Borderless inputs,Medium
63,Forms,Mobile Keyboards,Mobile,Show appropriate keyboard for input type,Use inputmode attribute,Default keyboard for all inputs,inputmode='numeric',Text keyboard for numbers,Medium
64,Responsive,Mobile First,Web,Design for mobile then enhance for larger,Start with mobile styles then add breakpoints,Desktop-first causing mobile issues,Default mobile + md: lg: xl:,Desktop default + max-width queries,Medium
65,Responsive,Breakpoint Testing,Web,Test at all common screen sizes,Test at 320 375 414 768 1024 1440,Only test on your device,Multiple device testing,Single device development,Medium
66,Responsive,Touch Friendly,Web,Mobile layouts need touch-sized targets,Increase touch targets on mobile,Same tiny buttons on mobile,Larger buttons on mobile,Desktop-sized targets on mobile,High
67,Responsive,Readable Font Size,All,Text must be readable on all devices,Minimum 16px body text on mobile,Tiny text on mobile,text-base or larger,text-xs for body text,High
68,Responsive,Viewport Meta,Web,Set viewport for mobile devices,Use width=device-width initial-scale=1,Missing or incorrect viewport,<meta name='viewport'...>,No viewport meta tag,High
69,Responsive,Horizontal Scroll,Web,Avoid horizontal scrolling,Ensure content fits viewport width,Content wider than viewport,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile,High
70,Responsive,Image Scaling,Web,Images should scale with container,Use max-width: 100% on images,Fixed width images overflow,max-w-full h-auto,width='800' fixed,Medium
71,Responsive,Table Handling,Web,Tables can overflow on mobile,Use horizontal scroll or card layout,Wide tables breaking layout,overflow-x-auto wrapper,Table overflows viewport,Medium
72,Typography,Line Height,All,Adequate line height improves readability,Use 1.5-1.75 for body text,Cramped or excessive line height,leading-relaxed (1.625),leading-none (1),Medium
73,Typography,Line Length,Web,Long lines are hard to read,Limit to 65-75 characters per line,Full-width text on large screens,max-w-prose,Full viewport width text,Medium
74,Typography,Font Size Scale,All,Consistent type hierarchy aids scanning,Use consistent modular scale,Random font sizes,Type scale (12 14 16 18 24 32),Arbitrary sizes,Medium
75,Typography,Font Loading,Web,Fonts should load without layout shift,Reserve space with fallback font,Layout shift when fonts load,font-display: swap + similar fallback,No fallback font,Medium
76,Typography,Contrast Readability,All,Body text needs good contrast,Use darker text on light backgrounds,Gray text on gray background,text-gray-900 on white,text-gray-400 on gray-100,High
77,Typography,Heading Clarity,All,Headings should stand out from body,Clear size/weight difference,Headings similar to body text,Bold + larger size,Same size as body,Medium
78,Feedback,Loading Indicators,All,Show system status during waits,Show spinner/skeleton for operations > 300ms,No feedback during loading,Skeleton or spinner,Frozen UI,High
79,Feedback,Empty States,All,Guide users when no content exists,Show helpful message and action,Blank empty screens,No items yet. Create one!,Empty white space,Medium
80,Feedback,Error Recovery,All,Help users recover from errors,Provide clear next steps,Error without recovery path,Try again button + help link,Error message only,Medium
81,Feedback,Progress Indicators,All,Show progress for multi-step processes,Step indicators or progress bar,No indication of progress,Step 2 of 4 indicator,No step information,Medium
82,Feedback,Toast Notifications,All,Transient messages for non-critical info,Auto-dismiss after 3-5 seconds,Toasts that never disappear,Auto-dismiss toast,Persistent toast,Medium
83,Feedback,Confirmation Messages,All,Confirm successful actions,Brief success message,Silent success,Saved successfully toast,No confirmation,Medium
84,Content,Truncation,All,Handle long content gracefully,Truncate with ellipsis and expand option,Overflow or broken layout,line-clamp-2 with expand,Overflow or cut off,Medium
85,Content,Date Formatting,All,Use locale-appropriate date formats,Use relative or locale-aware dates,Ambiguous date formats,2 hours ago or locale format,01/02/03,Low
86,Content,Number Formatting,All,Format large numbers for readability,Use thousand separators or abbreviations,Long unformatted numbers,"1.2K or 1,234",1234567,Low
87,Content,Placeholder Content,All,Show realistic placeholders during dev,Use realistic sample data,Lorem ipsum everywhere,Real sample content,Lorem ipsum,Low
88,Onboarding,User Freedom,All,Users should be able to skip tutorials,Provide Skip and Back buttons,Force linear unskippable tour,Skip Tutorial button,Locked overlay until finished,Medium
89,Search,Autocomplete,Web,Help users find results faster,Show predictions as user types,Require full type and enter,Debounced fetch + dropdown,No suggestions,Medium
90,Search,No Results,Web,Dead ends frustrate users,Show 'No results' with suggestions,Blank screen or '0 results',Try searching for X instead,No results found.,Medium
91,Data Entry,Bulk Actions,Web,Editing one by one is tedious,Allow multi-select and bulk edit,Single row actions only,Checkbox column + Action bar,Repeated actions per row,Low
92,AI Interaction,Disclaimer,All,Users need to know they talk to AI,Clearly label AI generated content,Present AI as human,AI Assistant label,Fake human name without label,High
93,AI Interaction,Streaming,All,Waiting for full text is slow,Stream text response token by token,Show loading spinner for 10s+,Typewriter effect,Spinner until 100% complete,Medium
94,Spatial UI,Gaze Hover,VisionOS,Elements should respond to eye tracking before pinch,Scale/highlight element on look,Static element until pinch,hoverEffect(),onTap only,High
95,Spatial UI,Depth Layering,VisionOS,UI needs Z-depth to separate content from environment,Use glass material and z-offset,Flat opaque panels blocking view,.glassBackgroundEffect(),bg-white,Medium
96,Sustainability,Auto-Play Video,Web,Video consumes massive data and energy,Click-to-play or pause when off-screen,Auto-play high-res video loops,playsInline muted preload='none',autoplay loop,Medium
97,Sustainability,Asset Weight,Web,Heavy 3D/Image assets increase carbon footprint,Compress and lazy load 3D models,Load 50MB textures,Draco compression,Raw .obj files,Medium
98,AI Interaction,Feedback Loop,All,AI needs user feedback to improve,Thumps up/down or 'Regenerate',Static output only,Feedback component,Read-only text,Low
99,Accessibility,Motion Sensitivity,All,Parallax/Scroll-jacking causes nausea,Respect prefers-reduced-motion,Force scroll effects,@media (prefers-reduced-motion),ScrollTrigger.create(),High
100,Accessibility,Alt Text,All,Images should have descriptive alt text for screen readers,Use descriptive text for informative images,"Use ""image"" or ""photo"" as alt text","","",High
101,Forms,Inline Validation,Web,Validate user input as they type or move to next field,Show validation messages immediately next to the input,Wait until form submission to show all errors,input.onBlur(() => validate()),form.onSubmit(() => validateAll()),Medium
102,AI Interaction,Clear Attribution,All,Clearly distinguish AI-generated content from human content,Use a specific badge or icon for AI content,Mix AI and human content without labels,✨ Generated by AI,Content here,Medium
103,Performance,Image Optimization,Web,Large images slow down page loads,Use WebP format and responsive image sizes,Serve 4K original images for thumbnails,,,High
104,Layout,Whitespace,All,Cluttered UI makes information hard to process,Use consistent padding and margin to separate elements,Cram all features into one screen without spacing,p-4 m-2,p-0 m-0,Low
105,Interaction,Skeleton Screens,All,Provide feedback that content is loading,Use skeleton loaders to mimic layout during fetch,Use a static spinner or blank screen,,,Low
106,Typography,Line Height,All,Text should be readable and not cramped,Use a line-height of 1.5 for body text,Use default line-height for dense text,line-height: 1.5;,line-height: 1.0;,Medium
107,Accessibility,Contrast Ratio,All,Text must be readable against its background,Ensure AA contrast ratio for all text,Use light gray text on white background,color: #333;,color: #999;,High
108,Forms,Input Masking,All,Help users enter data in the correct format,Apply masks for dates and phone numbers,Allow free-form text for structured data,"type='tel' pattern='...'","type='text'",Medium
109,Feedback,Success States,All,Confirm when an action has been completed,Show a success toast or animation after action,Close modal without feedback after submission,"toast.success('Saved!')",modal.close(),Medium
110,Responsive,Touch Targets,Mobile,Buttons should be easy to tap without errors,Maintain a minimum size of 44x44px for targets,Place small links closely together,min-height: 44px;,height: 20px;,High
111,Navigation,Breadcrumbs,Web,Help users understand their location in a hierarchy,Show breadcrumbs for deep site structures,Rely solely on the back button,Home > Products > Electronics,Back link only,Low
112,Data Entry,Defaults,All,Reduce work by pre-filling known information,Pre-fill fields with sensible defaults,Leave all fields empty for every user,defaultValue='US',No default,Medium
113,Search,Live Results,Web,Speed up finding content with real-time feedback,Show instant results as the user types,Require a full page refresh for every search,onChange={handleSearch},onSubmit={handleSubmit},Medium
114,Content,Sentence Case,All,Sentence case is easier to read than title case,Use sentence case for headings and buttons,Use TITLE CASE or Title Case for all text,Add to cart,ADD TO CART,Low
115,Onboarding,Progress Indicators,All,Users should know how many steps are left,Show a progress bar for multi-step flows,Hide the total number of steps,Step 2 of 5,Step 2,Medium
116,Interaction,Haptic Feedback,Mobile,Provide physical confirmation for digital actions,Use subtle haptics on successful interaction,Disable haptics for critical feedback,Haptics.notificationAsync(),No haptics,Low
117,Sustainability,Dark Mode Support,All,Reduce energy consumption on OLED screens,Provide a native dark mode theme,Force light mode only,@media (prefers-color-scheme: dark),Fixed hex codes,Low
118,Spatial UI,Depth Cues,VisionOS,Help users perceive interactive layers,Use shadows and glassmorphism for depth,Flat 2D UI without layering,z-index + shadows,No depth cues,Medium
119,Forms,Avoid Placeholders,All,Labels should not be replaced by placeholders,Use persistent labels above input fields,Use placeholders as the only label,Label + Placeholder,Placeholder only,High
120,Performance,Lazy Loading,Web,Defer loading of off-screen resources,Lazy load images and components below fold,Load all assets on initial page load,loading='lazy',Standard img tag,Medium
121,Accessibility,Focus Ring,Web,Interactive elements must show a focus indicator,Ensure the focus ring is visible and high contrast,Remove the default focus outline without replacement,a:focus { outline: 2px solid blue; },:focus { outline: none; },High
122,Forms,Input Types,Mobile,Keyboards should match the expected data type,Use specific input types like email or number,Use the default text keyboard for all inputs,"type='email' inputmode='email'","type='text'",Medium
123,AI Interaction,Undo Action,All,AI actions can be unpredictable and need reversal,Provide an easy 'Undo' or 'Reset' for AI changes,Make AI modifications permanent or hard to revert,"onUndo={rollbackState}","No undo button provided",High
124,Accessibility,Heading Hierarchy,Web,Headings should follow a logical nested order,Use H1-H6 in sequence to structure content,Skip heading levels for visual styling only, then , then ,Medium
125,Interaction,Double-Tap Prevention,All,Prevent multiple submissions from rapid clicking,Disable buttons after the first click until complete,Allow multiple clicks while processing request,button.disabled = true;,No click throttling,Medium
126,Navigation,External Links,Web,Users should know when they are leaving the site,Open external links in new tabs with an icon,Open external links in the same tab,target='_blank' rel='noopener',target='_self',Low
127,Layout,Z-Index Management,Web,Stacking layers should be predictable and limited,Use a centralized system for z-index values,Assign random high numbers like 99999 to elements,$z-index-modal: 100;,z-index: 9999;,Low
128,Content,Microcopy Clarity,All,Error messages should be helpful and not technical,Explain what went wrong and how to fix it,Show cryptic error codes or 'Error occurred',Invalid email format. Try again.,Error code: 0x442,Medium
129,Performance,Font Loading,Web,Prevent layout shifts from font loading,Use font-display: swap to show fallback text first,Wait for custom fonts to load before showing text,font-display: swap;,Default font loading,Medium
130,Touch,Swipe Gestures,Mobile,Common actions should support natural swiping,Implement swipe-to-delete or swipe-to-refresh,Force users to tap small icons for main actions,onSwipeLeft={deleteItem},onClickOnly,Medium
131,AI Interaction,Feedback Loop,All,Users should be able to rate AI output quality,Include thumbs up/down icons for AI responses,Assume AI output is always correct and final,Like/Dislike buttons,No feedback mechanism,Low
132,Spatial UI,Gaze Dwell Time,VisionOS,Interactive elements should trigger after intent is clear,Use a comfortable dwell time for gaze selection,Trigger actions immediately upon gaze hover,400ms - 800ms dwell,Instant trigger,Medium
133,Forms,Required Fields,All,Differentiate between optional and required data,Use an asterisk () or 'Optional' label,Rely on user intuition to find required fields,label: 'Email *',label: 'Email',Medium
134,Accessibility,Color Dependence,All,Information should not be conveyed by color alone,Use icons or text labels alongside color changes,Use only red/green colors for status updates,Error icon + Red text,Red text only,High
135,Navigation,Active Area,Mobile,Navigation items need a large hit area,Increase the tappable area beyond the visible icon,Limit hit area to the icon size only,padding: 12px;,No padding on icon,High
136,Interaction,Pull to Refresh,Mobile,Lists should allow easy manual updating,Add pull-to-refresh gesture at the top of lists,Provide a small 'Refresh' button in the footer,RefreshControl component,Manual button refresh,Medium
137,Data Entry,Autocomplete,Web,Speed up form filling with browser integration,Use standard autocomplete attributes for inputs,Disable autocomplete for non-sensitive data,autocomplete='shipping address',autocomplete='off',Low
138,Responsive,Image Aspect Ratio,All,Images should not distort on different screens,Use aspect-ratio or object-fit to maintain proportions,Hardcode height and width in pixels,object-fit: cover;,width: 500px; height: 300px;,Medium
139,Sustainability,Efficient Queries,All,Minimize data transfer to save energy and bandwidth,Request only the fields needed from the API,Fetch the entire database object for one field,SELECT name FROM users,SELECT * FROM users,Low
140,Onboarding,Skip Option,All,Users should be able to bypass long tutorials,Include a clear 'Skip' button for onboarding,Force users to view every slide to enter the app,Button label: Skip,No skip button,Medium
141,Forms,Autofocus,Web,The first input should be ready for typing,Apply autofocus to the primary form field,Force users to click into the first input,autofocus,No autofocus,Low
142,Layout,Grid Consistency,All,Align elements to a consistent grid system,Use 8px or 4px spacing increments,Use arbitrary pixel values for margins,margin: 16px (2x8),margin: 13px,Low
143,Accessibility,Skip Link,Web,Allow keyboard users to jump to main content,Include a 'Skip to Main Content' link at the top,Force keyboard users to tab through all nav links,Skip,No skip link,Medium
144,AI Interaction,Latency Indicators,All,Show progress for long-running AI generations,Use streaming text or detailed progress bars,Show a static loader without context,Streaming text effect,Static 'Loading...' text,Medium
145,Feedback,Empty States,All,Empty views should guide the user forward,Provide a call-to-action in empty lists,Show a blank white screen,Create your first post,Blank screen,Medium
146,Interaction,Confirm Deletion,All,Destructive actions need a safety net,Show a confirmation dialog for deleting items,Delete items instantly on a single click,Are you sure you want to delete?,No confirmation,High
147,Navigation,Sidebar Collapsibility,Web,Allow users to reclaim screen real estate,Provide a toggle to collapse the side menu,Keep sidebar fixed and wide at all times,isCollapsed state,Fixed width sidebar,Low
148,Typography,Max Line Length,Web,Long lines of text are tiring to read,Limit text blocks to 45-75 characters per line,Stretch text across the full width of the screen,max-width: 60ch;,width: 100%,Medium
149,Performance,Critical CSS,Web,Render the fold as fast as possible,Inline critical CSS in the  tag,Load all CSS via an external file only,Inline ...,Link tag only,Medium
150,Spatial UI,Comfort Zone,VisionOS,Place UI within the user's natural field of view,Keep primary interactions within 30 degrees of center,Place UI at the extreme edges of peripheral vision,Center-aligned UI,Extreme corner UI,High
151,Accessibility,Button Labels,All,Screen readers need a clear label for icons,Use aria-label for icon-only buttons,Leave icon buttons without text alternatives,aria-label='Close',,High
152,Interaction,Hover States,Web,Interactive items should respond to mouse-over,Add background or shadow changes on hover,Keep elements static when hovered,button:hover { bg: gray-100 },No hover state,Low
153,Forms,Input Grouping,All,Related fields should be visually grouped together,Use fieldsets or spacing for related data,Scatter inputs randomly on the page,Group: Address Info,No grouping,Medium
154,Search,Clear Search,All,Allow users to quickly reset their search,Provide an 'X' button inside the search bar,Require users to manually delete text,input type='search',input type='text',Low
155,Feedback,Validation Icons,All,Reinforce status messages with visual cues,Use checkmarks for success and icons for errors,Use text labels only for validation,Error icon + 'Required',Text 'Required' only,Low
156,Navigation,Footer Links,Web,Provide a fallback for deep navigation,Organize secondary links in the site footer,Remove footer or keep it empty,Sitemap in footer,No footer links,Low
157,AI Interaction,Confidence Scores,All,Users should know how certain the AI is,Show a confidence level for AI classifications,Present AI guesses as absolute facts,Confidence: 95%,No confidence score,Medium
158,Content,Reading Level,All,Content should be accessible to a wide audience,Use simple language and short sentences,Use complex jargon and technical terms,Save changes,Execute persistence protocol,Medium
159,Performance,Resource Hints,Web,Prepare the browser for future requests,Use preconnect or dns-prefetch for third-party APIs,Request assets only when they are needed,,No resource hints,Low
160,Touch,Gesture Conflict,Mobile,In-app gestures shouldn't break OS gestures,Avoid full-screen swipes near the screen edges,Use horizontal swipes for secondary nav,Center-focused gestures,Edge-to-edge swiping,Medium
161,Layout,Card Consistency,All,Similar items should use the same card layout,Standardize card height and image positions,Vary card designs within the same list,Fixed card template,Random card heights,Low
162,Accessibility,Video Captions,All,Audio content must be accessible to the deaf,Provide synchronized captions for videos,Provide audio without text alternatives,,Video only,High
163,Forms,Password Strength,All,Encourage secure user account creation,Show a strength meter while typing passwords,Reject passwords only after submission,PasswordStrengthMeter,Manual alert on submit,Medium
164,Data Entry,Smart Selection,All,Make it easy to select common or recent items,Suggest frequent inputs in a dropdown,Force users to type the same thing every time,Recent: 123 Main St,Manual entry only,Low
165,Interaction,Loading Buttons,All,Prevent multiple clicks during async tasks,Show a spinner inside the button while loading,,Standard button,Medium
166,Responsive,Hamburger Menu,Mobile,Hidden navigation must be easy to find,Use the standard three-line menu icon,Hide navigation under a non-standard icon,Menu icon (≡),Custom star icon,Medium
167,Typography,Font Weight,All,Use weight to establish visual hierarchy,Use bold for headings and regular for body,Use the same font weight for everything,font-bold vs font-normal,Single font weight,Low
168,Sustainability,Auto-Play Video,Web,Conserve bandwidth and power for mobile users,Disable auto-play for videos by default,Start all videos automatically on load,autoPlay={false},autoPlay={true},Medium
169,Onboarding,Benefit Focused,All,Onboarding should explain value, not just features,Show how the app helps the user,Show technical feature list,Get things done faster,Feature: Task Manager,Medium
170,AI Interaction,Context Awareness,All,AI should remember previous parts of the conversation,Maintain short-term memory in AI chat sessions,Treat every message as a brand new request,Use conversation history,Single prompt logic,Medium
