Widget Name,Category,Description,Key Properties,Usage Context & Pro-Tips
SliverList,Scrolling,Sliver phiên bản của ListView.,delegate,"Dùng SliverChildBuilderDelegate để tối ưu bộ nhớ."
SliverGrid,Scrolling,Sliver phiên bản của GridView.,"gridDelegate, delegate","Kết hợp với SliverList trong cùng CustomScrollView."
SliverToBoxAdapter,Scrolling,Chứa widget thường trong Sliver.,child,"Lưu ý: Con của widget này được render ngay lập tức, không lazy load. Không dùng cho list dài."
SliverFillRemaining,Scrolling,Lấp đầy vùng trống còn lại.,"hasScrollBody, child","Dùng để center thông báo lỗi/loading khi danh sách trống."
SliverPersistentHeader,Scrolling,Header ghim lại khi cuộn qua.,"delegate, pinned","Dùng để tạo sticky headers (như danh bạ điện thoại: A, B, C...)."
CarouselView,Scrolling,M3 Carousel tự động resize item.,"itemExtent, itemSnapping, children","Widget mới (2025). Tự động xử lý hiệu ứng co giãn item ở mép màn hình."
DraggableScrollableSheet,Scrolling,Bottom sheet có thể kéo dãn.,"builder, initialChildSize, snap","Builder phải trả về một ScrollView (như ListView) gắn controller được cung cấp."
Text,Display,Hiển thị văn bản đơn giản.,"style, textAlign, overflow","Dùng RichText nếu cần style hỗn hợp (đậm nhạt khác nhau) trong 1 dòng."
Image,Display,Hiển thị hình ảnh.,"image, fit, loadingBuilder","Image.network không cache mặc định. Cân nhắc dùng cached_network_image cho production."
Icon,Display,Hiển thị vector icon (font).,"icon, size, color","Tự động lấy màu từ IconTheme nếu không set color."
Card,Display,Surface có bo góc và shadow.,"elevation, shape, color","Trong M3, Card có 3 biến thể: Elevated, Filled, Outlined."
ListTile,Display,"Hàng định dạng chuẩn (icon, title, subtitle).","leading, title, subtitle, trailing","Rất hữu ích cho menu, danh sách cài đặt. Tự động xử lý padding chuẩn Material."
CircleAvatar,Display,Hình tròn đại diện người dùng/ảnh.,"backgroundImage, radius, child","Thường dùng trong ListTile leading."
Divider,Display,Đường kẻ ngang phân cách.,"height, thickness, color","Dùng VerticalDivider cho đường dọc."
Badge,Display,Thông báo nhỏ trên widget khác.,"label, child, isLabelVisible","Widget M3 mới. Thay thế cho các thư viện badge bên ngoài."
Chip,Display,Phần tử nén thông tin/hành động.,"label, avatar, onDeleted","Các biến thể: InputChip, FilterChip, ChoiceChip, ActionChip."
LinearProgressIndicator,Display,Thanh tiến trình ngang.,"value, backgroundColor, color","value: null sẽ hiển thị dạng indeterminate (chạy liên tục)."
CircularProgressIndicator,Display,Vòng tròn tiến trình.,"value, strokeWidth","Thường dùng để báo loading."
FilledButton,Input,Nút bấm chính M3 (nền màu).,"onPressed, child","Nút có độ nhấn mạnh cao nhất trong M3."
ElevatedButton,Input,Nút bấm nổi (có shadow).,"onPressed, style","Dùng khi cần tách biệt nút khỏi nền."
OutlinedButton,Input,Nút viền (nền trong suốt).,"onPressed, style","Dùng cho hành động phụ (secondary actions)."
TextButton,Input,Nút văn bản đơn giản.,"onPressed, child","Dùng trong Dialogs hoặc Card actions."
IconButton,Input,Nút chỉ có icon.,"icon, onPressed, tooltip","Nên luôn cung cấp tooltip cho accessibility."
FloatingActionButton,Input,Nút hành động chính nổi.,"onPressed, child","Thường đặt trong Scaffold.floatingActionButton."
SegmentedButton,Input,Chọn 1 hoặc nhiều trong nhóm.,"segments, selected, onSelectionChanged","Thay thế ToggleButtons trong M3."
TextField,Input,Ô nhập liệu văn bản.,"controller, decoration, onChanged","Luôn gọi controller.dispose()."
TextFormField,Input,TextField tích hợp Form validation.,"validator, onSaved","Dùng trong widget Form. Validator trả về null là hợp lệ."
Checkbox,Input,Hộp kiểm (True/False).,"value, onChanged","tristate: true cho phép giá trị null (chưa xác định)."
Switch,Input,Công tắc bật/tắt.,"value, onChanged","Thường dùng cho settings."
Radio,Input,Chọn 1 trong nhiều.,"value, groupValue, onChanged","Dùng RadioListTile để có cả nhãn bấm được."
Slider,Input,Thanh trượt chọn giá trị.,"value, min, max, onChanged","Dùng RangeSlider để chọn khoảng giá trị."
InkWell,Input,Vùng cảm ứng có hiệu ứng ripple.,"onTap, child","Phải nằm trong widget Material."
GestureDetector,Input,"Phát hiện cử chỉ thô (tap, drag, scale).","onTap, onPanUpdate","Không có hiệu ứng hình ảnh (ripple). Dùng cho logic tương tác thuần túy."
FutureBuilder,Async,Build UI từ Future.,"future, builder","Cảnh báo: Không tạo Future trong hàm build (gây loop)."
StreamBuilder,Async,Build UI từ Stream.,"stream, builder","Xử lý snapshot.hasError và trạng thái loading cẩn thận."
ValueListenableBuilder,Async,Rebuild khi ValueNotifier đổi.,"valueListenable, builder","Rất nhẹ. Tốt để update cục bộ (ví dụ: đếm ký tự TextField) mà không rebuild cả trang."
AnimatedBuilder,Animation,Build UI theo AnimationController.,"animation, builder","Tối ưu hiệu năng animation bằng cách chỉ rebuild phần builder trả về."
Hero,Animation,Chuyển cảnh chia sẻ phần tử (Hero transition).,"tag, child","tag phải duy nhất giữa 2 màn hình."
ShaderMask,Effect,Mask child bằng gradient/shader.,"shaderCallback, blendMode","Dùng để tạo hiệu ứng fade text."
BackdropFilter,Effect,Blur nền phía sau widget.,"filter, child","Phải có clip (như ClipRect) bọc ngoài để giới hạn vùng blur."
OverlayPortal,Overlay,Render widget lên lớp Overlay.,"controller, overlayChildBuilder","Tốt hơn OverlayEntry cho tooltip/menu dropdown phức tạp."
Semantics,A11y,Thêm ngữ nghĩa cho Screen Reader.,"label, hint, onTap","Dùng MergeSemantics để gộp nhóm tương tác."
InteractiveViewer,Interaction,Cho phép pan/zoom/scale nội dung.,"minScale, maxScale, boundaryMargin","Dùng cho xem ảnh chi tiết, bản đồ."
WillPopScope,Interaction,Chặn nút Back hệ thống.,onWillPop,"Đã bị deprecated (2025). Dùng PopScope thay thế."
PopScope,Interaction,Kiểm soát việc thoát màn hình.,"canPop, onPopInvoked","Thay thế WillPopScope trong Android 14+."
Center,Layout,Căn giữa widget con.,child,"Pro-Tip: Thay vì dùng Container với alignment: Alignment.center, dùng Center cho code gọn hơn."
Padding,Layout,Thêm khoảng cách xung quanh widget con.,"padding, child",Pro-Tip: Ưu tiên dùng Padding thay vì Container chỉ để set padding để tối ưu hiệu năng.
Align,Layout,Căn chỉnh widget con trong widget cha.,"alignment, child","Sử dụng các hằng số như Alignment.topRight hoặc Alignment(x, y) để tùy chỉnh."
AspectRatio,Layout,Cố định tỷ lệ khung hình cho widget con.,"aspectRatio, child",Hữu ích khi hiển thị ảnh hoặc video cần giữ đúng tỷ lệ 16/9 hoặc 4/3.
ConstrainedBox,Layout,Áp đặt các ràng buộc kích thước bổ sung cho widget con.,"constraints, child","Dùng BoxConstraints(minWidth, maxWidth, ...) để kiểm soát kích thước linh hoạt."
Visibility,Layout,Ẩn hoặc hiện widget con.,"visible, child, replacement",Pro-Tip: Set maintainState: true nếu muốn giữ trạng thái của widget khi bị ẩn.
Opacity,Styling,Làm mờ widget con.,"opacity, child",Cảnh báo: Dùng Opacity quá nhiều có thể ảnh hưởng đến hiệu năng render. Cân nhắc dùng Transparent màu nếu được.
ClipRRect,Styling,Cắt widget con theo hình chữ nhật bo góc.,"borderRadius, child",Thường dùng để bo góc ảnh hoặc container chứa nội dung.
DecoratedBox,Styling,Vẽ trang trí xung quanh widget con.,"decoration, child",Pro-Tip: Nhẹ hơn Container khi bạn chỉ cần vẽ BoxDecoration mà không cần căn lề/padding.
PopupMenuButton,Input,Hiển thị menu khi nhấn vào.,"itemBuilder, onSelected",Thường đặt ở AppBar để cung cấp các lựa chọn phụ như 'Cài đặt' hoặc 'Đăng xuất'.
DropdownButton,Input,Nút chọn giá trị từ danh sách thả xuống.,"items, value, onChanged",Đảm bảo giá trị 'value' luôn tồn tại trong danh sách 'items' để tránh lỗi.
BottomNavigationBar,Navigation,Thanh điều hướng nằm ở dưới cùng màn hình.,"items, currentIndex, onTap",Pro-Tip: Thường dùng kết hợp với IndexedStack để chuyển đổi tab mà không mất trạng thái.
Drawer,Navigation,Menu trượt từ cạnh màn hình.,"child, elevation",Sử dụng Scaffold.drawer để tự động kích hoạt tính năng vuốt từ cạnh.
TabBar,Navigation,Thanh hiển thị các tab ngang.,"tabs, controller",Phải dùng kèm với TabController hoặc DefaultTabController bọc bên ngoài.
Tooltip,Utility,Hiển thị chú thích khi nhấn giữ hoặc di chuột qua.,"message, child",Rất quan trọng cho Accessibility (khả năng tiếp cận) trên ứng dụng di động.
DataTable,Data,Hiển thị dữ liệu dưới dạng bảng.,"columns, rows",Thích hợp cho admin dashboard hoặc các ứng dụng quản lý dữ liệu lớn.
AbsorbPointer,Interactivity,Ngăn chặn tương tác người dùng vào cây widget con.,"absorbing, child","Khác với IgnorePointer, AbsorbPointer vẫn nhận sự kiện nhưng không truyền xuống con."
IgnorePointer,Interactivity,"Bỏ qua các tương tác người dùng, cho phép nhấn xuyên qua.","ignoring, child",Dùng khi bạn muốn hiển thị một lớp overlay nhưng không muốn nó chặn thao tác bên dưới.
Table,Layout,Sắp xếp widget theo cấu trúc bảng (table).,"children, columnWidths","Khác với DataTable, Table dùng cho layout tĩnh và hiệu năng tốt hơn cho cấu trúc đơn giản."
PhysicalModel,Styling,Tạo hiệu ứng đổ bóng và cắt theo hình dạng (shape).,"elevation, color, shape",Dùng để tạo chiều sâu vật lý cho widget giống như Material Design.
OverflowBox,Layout,Cho phép widget con có kích thước lớn hơn widget cha.,"alignment, minWidth, maxWidth, minHeight, maxHeight","Dùng khi bạn muốn nội dung 'tràn' ra ngoài khung chứa mà không bị lỗi layout."
Offstage,Layout,Ẩn widget con khỏi màn hình nhưng vẫn giữ trạng thái và không chiếm không gian.,"offstage, child",Dùng để đo đạc kích thước widget con trước khi hiển thị hoặc giữ trạng thái form khi chuyển tab.
ColoredBox,Styling,Widget chỉ dùng để tô màu nền cho vùng chứa.,"color, child",Pro-Tip: Nhẹ hơn Container với decoration chỉ có màu. Dùng để tối ưu hiệu năng render màu nền đơn giản.
NavigationRail,Navigation,Thanh điều hướng dọc đặt ở bên trái hoặc phải màn hình.,"destinations, selectedIndex, onDestinationSelected",Thích hợp cho các ứng dụng chạy trên Tablet hoặc Desktop có màn hình rộng.
SlideTransition,Animation,Di chuyển vị trí của widget con theo một hiệu ứng trượt.,"position (Animation<Offset>), child",Thường dùng kết hợp với AnimationController để tạo hiệu ứng trượt màn hình vào/ra.
ScaleTransition,Animation,Phóng to hoặc thu nhỏ widget con.,"scale (Animation<double>), child",Tạo hiệu ứng nhấn nút hoặc xuất hiện widget một cách sinh động.
RotationTransition,Animation,Xoay widget con quanh một trục.,"turns (Animation<double>), child",Dùng để tạo các icon loading xoay tròn hoặc hiệu ứng kim đồng hồ.
FadeTransition,Animation,Làm mờ dần widget con.,"opacity (Animation<double>), child",Khác với AnimatedOpacity vì yêu cầu một Animation object để kiểm soát chi tiết hơn.
SizeTransition,Animation,Thay đổi kích thước widget con (thu hẹp hoặc mở rộng).,"sizeFactor, axis, child",Hữu ích cho các danh sách có thể mở rộng (Expandable List) hoặc menu thả xuống.
CupertinoActivityIndicator,Display,Vòng quay loading theo phong cách iOS (Cupertino).,"radius, animating",Dùng khi bạn muốn giao diện ứng dụng trông giống hệt ứng dụng gốc của Apple.
CupertinoButton,Input,Nút bấm theo phong cách iOS.,"child, onPressed, borderRadius",Cung cấp cảm giác nhấn và giao diện đặc trưng của hệ điều hành iOS.
Form,Input,Bọc các trường nhập liệu để quản lý trạng thái chung.,"key, child, onChanged",Sử dụng FormState (thông qua GlobalKey) để thực hiện validate() hoặc save() toàn bộ form cùng lúc.
AutofillGroup,Input,Gộp nhóm các trường nhập liệu để hỗ trợ tự động điền (autofill).,"child, onDisposeAction",Giúp trình duyệt hoặc hệ điều hành nhận diện được form đăng nhập/đăng ký để gợi ý mật khẩu.
LongPressDraggable,Interaction,Widget có thể kéo thả nhưng chỉ sau khi nhấn giữ một lúc.,"data, child, feedback",Thường dùng trong các danh sách sắp xếp lại để tránh nhầm lẫn với thao tác cuộn.
Listener,Interactivity,"Lắng nghe các sự kiện con trỏ ở mức độ thấp (down, move, up).","onPointerDown, onPointerMove, child",Dùng khi GestureDetector không đáp ứng được các yêu cầu xử lý tương tác vật lý phức tạp.
Focus,Utility,Quản lý khả năng nhận tiêu điểm của widget.,"onFocusChange, focusNode, child",Quan trọng khi phát triển ứng dụng cho Desktop hoặc Web sử dụng phím Tab để di chuyển.
AnnotatedRegion,Utility,"Thiết lập các thuộc tính lớp phủ hệ thống (như màu thanh trạng thái).","value, child",Dùng để đổi màu chữ trên StatusBar thành đen hoặc trắng tùy theo màu nền của ứng dụng.
PhysicalShape,Styling,Cắt widget theo một hình dạng tùy chỉnh và tạo hiệu ứng đổ bóng vật lý.,"clipper, color, elevation",Cung cấp độ bóng thực tế hơn so với việc chỉ dùng BoxDecoration.
VerticalDivider,Display,Đường kẻ dọc để phân cách các phần tử.,"width, thickness, color","Lưu ý: Phải đặt trong widget có chiều cao xác định (như Row bọc bởi IntrinsicHeight)."
PreferredSize,Utility,Widget cho phép bạn xác định kích thước lý tưởng cho con của nó.,"preferredSize, child",Thường dùng để tạo các AppBar tùy chỉnh (Custom AppBar) có chiều cao khác với mặc định.</Offset>
