Stage,Goal,Prompt Template,Output Schema,Required Inputs,Length/Limit,Quality Gate,Notes
Localization,"Adapt listing for locales","Localize the store listing and keyword set for each target language without changing the product promise.","{ locale, localized_name, localized_short_description, localized_keywords }","target locales, language variants","Keep meaning aligned across locales","Do not translate keywords blindly","Use native phrasing per market"
Compliance Checklist,"Run a final release check","Create a final checklist for policy, privacy, screenshots, contact info, and store consistency.","{ policy, privacy, contact, screenshots, data_safety, rating, metadata }","all generated store assets","Must pass before publishing","No missing links or broken contact paths","Treat this as the final gate before submission"
Export,"Render machine-readable output","Return the final Google Play workflow result in both Markdown and JSON so it can be pasted into Play Console tooling or a docs pipeline.","{ markdown, json, notes }","all generated fields","Keep JSON stable and explicit","Preserve field names across runs","Useful for handoff and automation"
Review Responder,"Draft empathetic and professional replies","I will provide a user review and its rating. Act as a Customer Success Manager and draft a response that addresses the user's specific feedback, offers a solution or gratitude, and maintains a helpful tone.","{ response, sentiment_analysis, escalation_needed }","user review, rating, app version",Max 500 characters,"No generic 'Thank you' only; must address specific points","Use placeholders for support links"
A/B Test Designer,"Create variants for listing experiments","Act as a Growth Marketer. Given the current store listing, generate three distinct variations for the Short Description focusing on different emotional triggers like urgency or utility.","{ variant_a, variant_b, variant_c, hypothesis }","current description, target audience, test objective",80 characters per variant,"Variants must be significantly different in hook or angle","Focus on the first 40 characters for mobile visibility"
Release Notes,"Write engaging What's New updates","I will provide a list of technical changes and bug fixes. Rewrite these into user-friendly release notes that highlight benefits while keeping a consistent brand voice.","{ changelog_text, summary_sentence }","technical commits, bug fix log, new features",Max 500 characters,"Avoid technical jargon; focus on user experience improvements","Use emojis sparingly to highlight main features"
Competitor Auditor,"Analyze competitor metadata for gaps","I will provide the store listing text of three competitors. Analyze their keyword usage and feature highlighting to identify gaps our app can fill.","{ competitor_strengths, competitor_weaknesses, keyword_gaps, strategic_advice }","competitor descriptions, competitor reviews, niche",No hard limit; infer from context,"Insights must be actionable for metadata updates","Look for recurring keywords in high-ranking competitor descriptions"
Seasonal Campaign,"Adapt listing for holidays or events","Act as a Creative Strategist. Create a seasonal update for the store listing including App Name suffix and Short Description for a specific event.","{ name_suffix, seasonal_description, screenshot_captions }","target event, current listing, brand guidelines",Standard Play Store limits,"Must align with the seasonal theme without losing core USP","Ensure the update is removed immediately after the event ends"
Review Responder,"Draft empathetic and professional replies","I will provide a user review and its rating. Act as a Customer Success Manager and draft a response that addresses the user's specific feedback, offers a solution or gratitude, and maintains a helpful tone.","{ response, sentiment_analysis, escalation_needed }","user review, rating, app version",Max 500 characters,"No generic 'Thank you' only; must address specific points","Use placeholders for support links"
A/B Test Designer,"Create variants for listing experiments","Act as a Growth Marketer. Given the current store listing, generate three distinct variations for the Short Description focusing on different emotional triggers like urgency or utility.","{ variant_a, variant_b, variant_c, hypothesis }","current description, target audience, test objective",80 characters per variant,"Variants must be significantly different in hook or angle","Focus on the first 40 characters for mobile visibility"
Release Notes,"Write engaging What's New updates","I will provide a list of technical changes and bug fixes. Rewrite these into user-friendly release notes that highlight benefits while keeping a consistent brand voice.","{ changelog_text, summary_sentence }","technical commits, bug fix log, new features",Max 500 characters,"Avoid technical jargon; focus on user experience improvements","Use emojis sparingly to highlight main features"
Competitor Auditor,"Analyze competitor metadata for gaps","I will provide the store listing text of three competitors. Analyze their keyword usage and feature highlighting to identify gaps our app can fill.","{ competitor_strengths, competitor_weaknesses, keyword_gaps, strategic_advice }","competitor descriptions, competitor reviews, niche",No hard limit; infer from context,"Insights must be actionable for metadata updates","Look for recurring keywords in high-ranking competitor descriptions"
Seasonal Campaign,"Adapt listing for holidays or events","Act as a Creative Strategist. Create a seasonal update for the store listing including App Name suffix and Short Description for a specific event.","{ name_suffix, seasonal_description, screenshot_captions }","target event, current event, brand guidelines",Standard Play Store limits,"Must align with the seasonal theme without losing core USP","Ensure the update is removed immediately after the event ends"
Push Notification Strategy,"Draft high-engagement alerts","Generate a sequence of 3 push notifications to re-engage users who haven't opened the app in 7 days. Focus on value-add, not just reminders.","{ push_1, push_2, push_3, timing_logic }","app category, key features, user activity history",Max 120 characters per push,"Must include a clear call-to-action (CTA)","Personalize using [User_Name] placeholders"
Subscription Tiers,"Define value-based paywall copy","Write the copy for a 3-tier subscription model (Basic, Pro, Family). Highlight the incremental value of each tier clearly.","{ tier_names, feature_comparison, billing_copy }","feature list, pricing points, target revenue model",Max 200 characters per tier,"Benefits must be logically tiered and non-overlapping","Focus on the 'Most Popular' tag for the middle tier"
Error Message Branding,"Humanize technical failure notices","Rewrite standard system error messages (Network Timeout, Invalid Login, Payment Failed) to be helpful, brand-aligned, and less frustrating.","{ error_type, user_friendly_text, suggested_action }","technical error codes, app tone of voice",Max 150 characters,"Provide a clear next step for the user to resolve the issue","Avoid blame-shifting language (e.g., 'You entered wrong')"
Help Center Articles,"Draft searchable FAQ content","Create 5 core FAQ articles based on common user pain points identified in reviews.","{ article_title, article_body, keywords }","common user complaints, app features",Max 1000 characters per article,"Must be written in a step-by-step 'How-to' format","Use bold text for UI elements mentioned"
Community Guidelines,"Establish user conduct standards","Draft a set of community guidelines for in-app interactions to ensure safety and positive engagement.","{ preamble, prohibited_actions, enforcement_policy }","app niche (e.g., social, gaming), target age group",Max 2000 characters,"Must be legally compliant yet readable for a general audience","Highlight zero-tolerance policies for harassment"
Icon Concept Generator,"Brief visual designers for app icons","Generate 3 distinct visual concepts for an app icon that reflect the core USP and category conventions.","{ concept_title, visual_elements, color_palette, rationale }","core feature, brand colors, competitor icons",Brief descriptions,"Must include contrast ratio considerations for dark/light modes","Focus on a single recognizable central object"
Video Scripting,"Draft a 30-second promo video script","Write a script for a Google Play Store promo video including visual cues, voiceover text, and on-screen text overlays.","{ scene_breakdown, visual_cue, voiceover, screen_text }","key features, target demographic, music mood",30 seconds script,"Must grab attention in the first 3 seconds","The ending must feature the app icon and a 'Download Now' CTA"
Social Proof Aggregator,"Curate testimonials for the description","Select and edit the best user testimonials into a 'What Users Are Saying' section for the full description.","{ curated_testimonials }","raw user reviews, app store ratings",Max 400 characters,"Select reviews that address different core features","Maintain authenticity; use ellipsis for brevity if needed"
Influencer Outreach,"Draft partnership pitch emails","Write a personalized email pitch for micro-influencers in the app's niche to request a review or feature.","{ email_subject, email_body, value_proposition }","influencer name, app USP, collaboration offer",Max 300 words,"Must explain why the app is relevant to their specific audience","Include a clear tracking link for the campaign"
Email Marketing Funnel,"Create a welcome email sequence","Draft a 3-part welcome email sequence for new users to drive feature adoption and long-term retention.","{ subject_lines, body_text, cta_links }","app onboarding steps, key value points",Max 400 words per email,"Each email must focus on one specific feature 'win'","Include an 'Unsubscribe' placeholder for compliance"
Referral Mechanics,"Draft 'Invite a Friend' messaging","Create the copy for an in-app referral program that incentivizes users to invite their contacts.","{ invite_headline, invite_body, share_sheet_text }","referral reward, app value",Max 150 characters for sharing,"The sharing text must sound natural when sent via SMS/WhatsApp","Clearly state the benefit for both parties"
Ad Creative Copy,"Generate text for Google App Campaigns","Write headlines and descriptions for UAC (Universal App Campaigns) that perform well across Search, Play, and YouTube.","{ headlines, descriptions }","primary keywords, target user intent",Headlines (30), Desc (90),"Focus on high-intent verbs like 'Track', 'Build', 'Save'","Avoid repetitive words across headlines"
Landing Page Sync,"Align web presence with store listing","Extract the core messaging from the Play Store listing to create a consistent 1-page website landing page.","{ hero_section, feature_grid, social_proof_section, footer }","play-store.csv data",No hard limit,"Messaging must be 100% consistent with the app store version","Ensure the 'Download on Play Store' badge is prominent"
App Store Sentiment Analysis,"Summarize qualitative user feedback","Analyze the last 100 reviews to identify the top 3 'loves' and top 3 'frustrations' among users.","{ top_positives, top_negatives, recommended_actions }","review export data",Summary format,"Actions must be prioritized by frequency of feedback","Differentiate between UI issues and functional bugs"
Re-engagement Campaign,"Draft 'We Miss You' ad copy","Write ad copy for a retargeting campaign targeting users who have uninstalled or haven't opened the app.","{ ad_headline, ad_body, offer_code }","win-back offer, feature updates",Max 100 characters,"Focus on what has changed or improved since they left","Use a strong emotional hook regarding the problem solved"
Onboarding Flow Optimization,"Refine first-run user experience text","Rewrite the tooltips and modal text for the initial app walkthrough to minimize friction and maximize 'Aha!' moments.","{ step_id, tooltip_text, action_required }","onboarding screenshots, drop-off points",Max 60 characters per tooltip,"Keep text concise; the user wants to get into the app","Focus on the benefit of the step, not just the function"
Feature Request Prioritization,"Categorize user-requested features","Take a list of user requests and categorize them by 'Impact vs. Effort' to guide the product roadmap.","{ category, feature_request, impact_score, effort_score }","user reviews, feedback forms",Tabular data,"Score on a 1-10 scale based on ASO potential","Priority should be given to requests that align with keywords"
Beta Tester Instructions,"Draft clear guidance for pre-release users","Write an email and in-app message for beta testers explaining what to test and how to report bugs.","{ welcome_message, testing_objectives, feedback_mechanism }","new feature list, bug tracking link",Max 500 words,"Define 'success' for the beta period clearly","Remind testers that the app is under development (NDA-safe)"
App Bundle Optimization,"Advise on binary size reduction","Provide a checklist for developers to reduce the APK/AAB size to improve install conversion rates in low-bandwidth areas.","{ reduction_technique, estimated_impact, implementation_difficulty }","current app size, asset list",Checklist format,"Focus on image compression and unused resource removal","Mention Google Play Feature Delivery where applicable"
Deep Link Strategy,"Map URLs to in-app destinations","Create a schema for deep links that allow marketing campaigns to drop users directly into specific features.","{ feature_path, url_structure, fallback_logic }","app architecture, campaign goals",Technical schema,"URLs must be human-readable and SEO-friendly","Include fallback to the Play Store if the app isn't installed"
Accessibility Audit,"Review listing for inclusive design","Analyze the store assets (text and screenshots) to ensure they are accessible to users with visual or cognitive impairments.","{ accessibility_issue, recommended_fix, compliance_standard }","screenshots, description text",Audit report,"Check for color contrast and text clarity in images","Ensure descriptions are compatible with screen readers"
Dark Mode Messaging,"Draft assets for themed updates","Create a short promotional update highlighting the launch of 'Dark Mode' to improve user eye comfort.","{ announcement_text, screenshot_captions_update }","new UI screenshots, brand voice",Max 80 characters (short desc),"Focus on the 'Night Owl' or 'Sleek' aesthetic appeal","Mention power-saving benefits for OLED screens"
Subscription Win-back,"Draft churn reduction offers","Create a series of discount offers triggered when a user attempts to cancel their subscription.","{ offer_tier, discount_percentage, persuasive_copy }","churn data, subscription price",Short snippets,"Focus on the loss of premium features if they leave","Use 'One-time offer' phrasing to create urgency"
Trial Conversion Tactics,"Write reminders for trial expiry","Draft a sequence of messages (in-app + email) to encourage users to stay after their free trial ends.","{ day_count, message_hook, cta }","trial length, premium feature list",Max 150 characters,"Remind users of the value they've created during the trial","Provide a clear path to manage or extend the trial"
Play Store Experiments,"Hypothesize for Store Listing Labs","Design a formal experiment for the Google Play Console to test a new icon vs. the current one.","{ hypothesis, variant_description, success_metric }","current conversion rate, new icon design",Experimental design,"The hypothesis must be testable (e.g., 'Increases CVR by 5%')","Control group must remain unchanged"
Brand Voice Guide,"Standardize tone for listing updates","Define the 'Do's and 'Don'ts' of the app's brand voice to ensure all future contributors maintain consistency.","{ personality_traits, vocabulary_preferences, forbidden_terms }","existing successful copy, brand mission",Guidelines,"Include examples of 'On-brand' vs. 'Off-brand' sentences","Focus on the emotional connection with the user"
Competitor Price Benchmarking,"Analyze niche pricing strategies","Compare the subscription and IAP prices of the top 5 competitors to recommend an optimal price point.","{ competitor_name, price_point, value_offered, positioning_gap }","competitor price list",Table format,"Identify if the app should be 'Budget', 'Premium', or 'Value'","Factor in regional pricing differences"
App Store Category Analysis,"Verify best-fit browse category","Evaluate the performance of different Play Store categories to see where the app has the highest chance of ranking.","{ primary_category, secondary_category, competitor_density, rank_potential }","Play Store category list, app features",Analysis report,"Potential should be based on 'Category Relevancy' vs. 'Competition'","Suggest a move if the current category is oversaturated"
Localized Keyword Research,"Find high-volume terms for new markets","Generate a list of 10 localized keywords for a specific target region (e.g., Brazil, Japan) including translation and intent.","{ region, original_term, localized_keyword, search_intent }","target country, core keywords",List format,"Do not use literal translations; use local slang or jargon","Include search volume estimates (High/Med/Low)"
Cultural Adaptation,"Audit listing for regional sensitivity","Review the listing for icons, colors, or phrases that might be misunderstood or offensive in a specific culture.","{ cultural_element, potential_risk, recommended_change }","listing assets, target culture",Audit notes,"Focus on color symbolism and local idioms","Ensure screenshots reflect local diversity"
Developer Console Alerts,"Draft internal status update templates","Create a set of templates for internal team alerts when Play Console metrics (CR, ANR, Crashes) change significantly.","{ alert_trigger, priority_level, notification_template }","Play Console metric types",Internal templates,"Include placeholders for specific data points","Action items must be clear (e.g., 'Roll back' or 'Fix UI')"
Vitals Monitoring Plan,"Set targets for Android Vitals","Define the acceptable thresholds for crashes and ANRs to ensure the app remains prioritized by the Play Store algorithm.","{ metric_name, warning_threshold, critical_threshold, action_plan }","Google Play Vitals benchmarks",Technical plan,"Critical thresholds should match Play Store 'Bad Behavior' levels","Plan must include regular code reviews"
User Persona Refinement,"Build detailed profiles for targeting","Create 3 detailed user personas based on actual app usage data to better target ASO and ads.","{ persona_name, age_range, core_pain_point, app_use_case }","usage analytics, user surveys",Persona profiles,"Personas must feel like real people with specific goals","Use these personas to test description readability"
Feature Value Matrix,"Map features to user benefits","Create a table that maps technical features to emotional or functional benefits to improve copy quality.","{ technical_feature, user_benefit, emotional_hook }","feature list",Mapping table,"Benefits should answer 'What's in it for me?'","Emotional hooks should drive the Short Description"
Promo Video Audio Brief,"Specify music and SFX requirements","Draft a brief for a sound designer to create the audio track for the Play Store promo video.","{ mood, tempo, key_sfx_moments, voiceover_tone }","video script, brand identity",Briefing document,"Music must be energetic but not overpower the voiceover","Identify moments where 'Success' or 'Alert' sounds are needed"
Screenshot Annotation,"Draft text overlays for visual assets","Write the punchy, benefit-driven captions that will appear on top of the app screenshots.","{ screenshot_number, caption_text, focus_element }","screenshot images, core features",Max 40 characters per caption,"Captions must be readable in a 2-second glance","Ensure text contrast against the screenshot background"
Call-to-Action Testing,"Generate variations for in-app buttons","Create 5 different CTA variations for a 'Sign Up' or 'Purchase' button to test which drives more conversions.","{ button_id, cta_variant, psychological_trigger }","app UI layout, conversion goal",Short phrases,"Triggers can include: Scarcity, Logic, Social Proof, Ease","Limit to 2-3 words per button"
App Indexing (SEO),"Prepare web-to-app search metadata","Draft the metadata required to ensure Google Search indexes app content and shows 'Open in App' buttons.","{ page_title, meta_description, deep_link_url }","app content list, SEO keywords",Metadata tags,"Titles must be SEO-optimized for mobile search","Descriptions should encourage app installation"
Firebase Event Mapping,"Define key conversion events","Create a list of in-app events that should be tracked to measure the success of ASO and ad campaigns.","{ event_name, trigger_condition, business_value }","user journey map",Technical list,"Events must correlate with the marketing funnel (e.g., 'Tutorial_Complete')","Assign a value to high-intent events"
UA Campaign Naming,"Standardize tracking for attribution","Create a naming convention for marketing campaigns to ensure data is clean and actionable in the dashboard.","{ campaign_source, platform, country, naming_string }","marketing plan",Formulaic strings,"Include version numbers and date tags in the string","Avoid spaces; use underscores for compatibility"
Privacy Label Mapping,"Simplify the Data Safety form","Map the app's actual data collection practices to the specific categories required by the Google Play Data Safety section.","{ data_type, collected_vs_shared, purpose_of_use }","app privacy policy, SDK list",Compliance map,"Be transparent about third-party SDK data sharing","Purpose must be selected from Google's predefined list"
Age Rating Justification,"Prepare for IARC questionnaire","Draft the internal reasoning for how to answer sensitive questions regarding violence, social interaction, or user-generated content.","{ questionnaire_item, app_context, recommended_answer }","app content audit",Internal memo,"Answer honestly to avoid app suspension or age-gating errors","Focus on 'Context' (e.g., 'Cartoon violence' vs. 'Realistic')"
In-App Purchase UI Copy,"Write microcopy for store items","Draft the names and descriptions for individual IAP items (e.g., 'Coin Pack', 'Premium Unlock') in the Play Store dashboard.","{ iap_id, display_name, display_description }","monetization items",Max 55 characters (desc),"Names should be clear and descriptive of the value","Descriptions should state exactly what the user receives"
Loyalty Program Hook,"Draft 'Earn Rewards' messaging","Create the introductory text for an in-app rewards program to increase daily active usage.","{ program_title, intro_text, reward_examples }","retention strategy, reward types",Max 300 characters,"Focus on how 'easy' it is to start earning","Use gamified language (e.g., 'Level up', 'Unlock')"
Update Frequency Logic,"Define the release cadence policy","Draft a internal policy on how often the app should be updated and what constitutes a 'Major' vs 'Minor' update.","{ update_type, frequency_goal, user_facing_impact }","development velocity, user expectations",Policy doc,"Maintain a balance between 'Freshness' and 'Update Fatigue'","Always link updates to visible improvements in the listing"
Tech Stack Disclosure,"Summarize tools for transparency","List the core technologies and libraries used in the app to build trust with privacy-conscious users.","{ tech_category, library_name, benefit_to_user }","build.gradle / Podfile",Transparency list,"Explain benefits like 'Encryption' or 'Fast Loading'","Ensure all third-party libraries comply with Play Store policies"
Open Source Attribution,"Draft the legal credits section","Generate the text for the 'Open Source Licenses' section of the app, ensuring all third-party credits are included.","{ library_name, license_type, attribution_link }","dependency list",Legal text,"Must follow the specific attribution requirements of each license","Place in an easily accessible 'About' or 'Settings' menu"
Support Ticket Triage,"Create automated response templates","Draft templates for a helpdesk bot to categorize and respond to common support tickets instantly.","{ ticket_category, automated_response, escalation_trigger }","customer support history",Response templates,"Templates should acknowledge receipt and provide an ETA","Escalate automatically for 'Billing' or 'Account Access' issues"
Press Release Draft,"Announce a major app launch or update","Write a formal press release to send to tech journalists and blogs for a major version release.","{ headline, subheadline, body_paragraph, media_contact }","app USP, new features, launch date",Max 500 words,"Include a 'Boilerplate' section about the company","Focus on the 'Why now?' angle for journalists"
Media Kit Specs,"Define assets for press and partners","List the required assets (logos, high-res screenshots, founder bios) to be included in a downloadable media kit.","{ asset_name, format_requirements, usage_notes }","brand assets",Spec list,"Include transparent PNGs and vector files for print","Ensure screenshots are 'Marketing' versions without status bar icons"
