No,Category,Issue,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
11,List & Scroll,Virtualization,lazy load list viewport,Sử dụng ListView.builder để chỉ render items trong viewport,"Dùng builder cho list > 20 items","Render tất cả items cùng lúc","ListView.builder(itemCount: 1000, ...)","ListView(children: List.generate(1000, ...))",Critical
12,List & Scroll,ShrinkWrap Avoid,shrinkwrap scroll nested,Tránh sử dụng shrinkWrap: true cho list dài vì tắt lazy loading,"Dùng Expanded hoặc Flexible","Dùng shrinkWrap: true","Expanded(child: ListView.builder(...))","ListView(shrinkWrap: true, children: longList)",Critical
13,List & Scroll,Item Extent,itemextent cacheextent scroll,Cung cấp itemExtent khi items có cùng chiều cao để tối ưu scroll performance,"Set itemExtent cho uniform height","Để Flutter tính toán mỗi item","ListView.builder(itemExtent: 72, ...)","ListView.builder(...) // không có itemExtent",Medium
14,List & Scroll,Keep Alive Careful,keepalive memory tab,Cân nhắc khi dùng AutomaticKeepAliveClientMixin vì giữ widget trong bộ nhớ,"Chỉ dùng cho tabs quan trọng","Keep alive tất cả tabs","// Chỉ keep alive tab có data quan trọng","// Keep alive tất cả tabs trong TabBarView",Medium
15,Animation,Animation Controller Dispose,dispose animation leak,Luôn dispose AnimationController để tránh memory leak và ticker leak,"Dispose trong dispose() method","Quên dispose controller","@override void dispose() { _animController.dispose(); super.dispose(); }","// Không dispose AnimationController",Critical
16,Animation,Implicit Over Explicit,implicit animated simple,Ưu tiên implicit animations (AnimatedContainer) cho hiệu ứng đơn giản,"Dùng AnimatedFoo widgets","Dùng AnimationController cho mọi thứ","AnimatedContainer(duration: Duration(milliseconds: 300), ...)","AnimationController + AnimatedBuilder cho color change",Medium
17,Animation,TweenAnimationBuilder,tween animation builder stateless,Dùng TweenAnimationBuilder cho animation không cần control manual,"Dùng TweenAnimationBuilder","Tạo StatefulWidget chỉ cho animation đơn giản","TweenAnimationBuilder<double>(tween: Tween(begin: 0, end: 1), ...)","StatefulWidget + AnimationController cho fade in",Medium
18,Animation,Animation Curve,curve ease animation timing,Sử dụng Curves phù hợp thay vì linear để animation tự nhiên hơn,"Dùng Curves.easeOutCubic","Dùng Curves.linear cho mọi thứ","curve: Curves.easeOutCubic","curve: Curves.linear",Low
19,Async & Network,Isolate Heavy Work,isolate compute background,Chạy JSON parsing lớn và tính toán nặng trong Isolate/compute(),"Dùng compute() cho work > 16ms","Parse JSON lớn trên main thread","final data = await compute(parseJson, response)","final data = jsonDecode(response) // 100MB JSON",High
20,Async & Network,Cancel Async Operations,cancel async dispose,Hủy Future/Stream subscriptions khi widget dispose,"Cancel trong dispose()","Để async operations chạy tiếp sau dispose","subscription?.cancel(); // trong dispose","// Không cancel, gây setState after dispose",High
21,Async & Network,Debounce Search,debounce timer search input,Debounce search input để tránh gọi API quá nhiều,"Timer 300-500ms trước khi search","Gọi API mỗi keystroke","Timer(Duration(milliseconds: 500), () => search(query))","onChanged: (q) => search(q) // gọi mỗi keystroke",High
22,Async & Network,Connection Check,connectivity network offline,Check kết nối mạng trước khi gọi API heavy,"Check connectivity trước","Luôn gọi API rồi xử lý lỗi sau","if (await Connectivity().checkConnectivity() != none) { ... }","try { await api.call() } catch (e) { // network error }",Medium
23,Layout,Avoid Nested Layouts,nested row column layout,Tránh nested Row/Column quá sâu, sử dụng CustomMultiChildLayout nếu cần,"Flatten layout structure","Nested 5+ level Row/Column","Wrap, Table, CustomMultiChildLayout; Row(Column(Row(Column(Row(...))))))",Medium
24,Layout,Intrinsic Dimension Avoid,intrinsic width height expensive,Tránh IntrinsicHeight/IntrinsicWidth vì gây double layout pass,"Dùng constraints hoặc fixed size","Dùng IntrinsicHeight cho list items","ConstrainedBox hoặc AspectRatio","IntrinsicHeight(child: Row(...))",High
25,Layout,Clip Behavior,clip antiAlias expensive,Sử dụng Clip.hardEdge thay vì antiAlias nếu không cần smooth edges,"Clip.hardEdge hoặc Clip.none","Clip.antiAlias everywhere","clipBehavior: Clip.hardEdge","clipBehavior: Clip.antiAlias // mọi Container",Low
26,Text & Font,Font Preload,font precache asset,Preload custom fonts khi app start để tránh flash of unstyled text,"Preload fonts trong main()","Để font load lazy","await FontLoader('MyFont').load()","// Font load khi widget đầu tiên dùng nó",Medium
27,Text & Font,Text Scale Factor,textscale accessibility responsive,Hỗ trợ textScaleFactor cho accessibility thay vì hardcode font size,"Dùng Theme.of(context).textTheme","Hardcode fontSize everywhere","Text('Hi', style: Theme.of(context).textTheme.bodyLarge)","Text('Hi', style: TextStyle(fontSize: 14))",Medium
28,Platform,Platform Channel Batch,platform channel native batch,Batch nhiều platform channel calls thành một để giảm overhead,"Batch calls thành single method","Gọi nhiều method channel riêng lẻ","channel.invokeMethod('batchOperation', [data1, data2])","channel.invokeMethod('op1'); channel.invokeMethod('op2');",Medium
29,Platform,Profile vs Debug,profile mode release debug,Test performance trong Profile mode, không phải Debug mode,"Flutter run --profile","Đánh giá perf trong debug mode","flutter run --profile --target=lib/main.dart, flutter run // debug mode chậm hơn nhiều",Critical
30,Platform,Skia vs Impeller,impeller ios android render,Sử dụng Impeller trên iOS (default) và test trên Android cho performance tốt hơn,"Enable Impeller nếu chưa","Disable Impeller không lý do","flutter run --enable-impeller","--no-enable-impeller // fallback Skia",Medium
31,Startup,Deferred Loading,deferred loading split,Sử dụng deferred loading để giảm initial bundle size,"Deferred import cho features phụ","Load tất cả code lúc startup","import 'heavy.dart' deferred as heavy; await heavy.loadLibrary()","import 'heavy.dart' // load lúc app start",High
32,Startup,Lazy Initialization,lazy init singleton service,Khởi tạo services lazy thay vì tất cả trong main(),"Lazy init với getter","Init tất cả trong main()","static final instance = Lazy(() => HeavyService())","void main() { HeavyService.init(); ... }",High
33,DevTools,Timeline Profiling,devtools timeline frame,Sử dụng Flutter DevTools Timeline để phát hiện jank frames,"Profile với DevTools Timeline","Đoán nguyên nhân jank","flutter pub global run devtools","// Không dùng profiling tools",Medium
34,DevTools,Widget Inspector,inspector rebuild debug,Dùng Widget Inspector để detect unnecessary rebuilds,"Check rebuild indicators","Đoán widget nào rebuild","DevTools > Flutter Inspector > Track widget rebuilds","// Không biết widget nào rebuild nhiều",Medium
35,Memory,Dispose Pattern,dispose stream subscription,Implement dispose pattern đúng cách cho tất cả resources,"Dispose tất cả controllers, subscriptions","Quên dispose một số resources","streams.forEach((s) => s.cancel()); controllers.forEach((c) => c.dispose());","// Dispose một số, quên một số",Critical
36,List & Scroll,ItemExtent Fixed,itemextent scroll performance listview,Sử dụng itemExtent khi các phần tử trong danh sách có chiều cao cố định,Set itemExtent: 50.0 cho ListView,Để Flutter tự tính toán kích thước từng item,"ListView.builder(itemExtent: 50.0, ...)",ListView.builder(...) // không có itemExtent,Medium
37,Build Optimization,AutomaticKeepAlive,keepalive tabview memory,Sử dụng AutomaticKeepAliveClientMixin cẩn thận để tránh chiếm dụng bộ nhớ,Chỉ keep alive những tab thực sự cần thiết,Keep alive tất cả các trang trong một PageView dài,bool get wantKeepAlive => true; // cho tab quan trọng,bool get wantKeepAlive => true; // cho mọi tab,Medium
38,Startup,Splash Screen Native,splash screen main delay,Sử dụng native splash screen thay vì tạo splash bằng Flutter widget để startup nhanh hơn,Cấu hình flutter_native_splash,Tạo một StatefulWidget làm Splash và dùng Future.delayed,flutter_native_splash:create,MaterialApp(home: MySplashWidget()),Medium
39,Memory,Large Image Dispose,memory leak imageprovider dispose,Giải phóng bộ nhớ ImageProvider khi không còn sử dụng,Dùng Image.evict() hoặc dispose ImageStream,Giữ hàng trăm ảnh trong memory cache mà không dọn dẹp,imageProvider.evict(),// Để ảnh trong cache vô thời hạn,High
40,Async & Network,Retry Strategy,exponential backoff network retry,Sử dụng chiến lược retry thông minh để tránh spam server khi mất mạng,Dùng exponential backoff,Thực hiện retry liên tục ngay lập tức khi lỗi,"RetryOptions(delayFactor: Duration(seconds: 2), maxAttempts: 3)",while(error) { await callApi(); },Medium
41,Startup,Precache Assets,precacheImage font preload,Precache các asset quan trọng ở splash screen hoặc didChangeDependencies để tránh flicker,"Dùng precacheImage(), precachePicture()","Load asset trực tiếp tại widget hiển thị","precacheImage(AssetImage('logo.png'), context)","Image.asset('logo.png') // gây nháy trắng lần đầu",Medium
42,Layout,Baseline Alignment,baseline expensive layout,Tránh dùng CrossAxisAlignment.baseline nếu không thực sự cần thiết vì tính toán font metrics rất đắt,"Dùng center hoặc start","Lạm dụng baseline alignment cho text đơn giản","CrossAxisAlignment.center","CrossAxisAlignment.baseline",Low
43,Build Optimization,High Refresh Rate,120hz displaymode performance,Kích hoạt tần số quét cao trên các thiết bị hỗ trợ (Android),"Dùng package flutter_displaymode","Để mặc định 60Hz trên màn 120Hz","await FlutterDisplayMode.setHighRefreshRate()","// Không config, app chạy 60fps trên màn 120fps",Medium
44,Memory,Lottie Optimization,lottie animation memory dispose,Dừng và dispose các file Lottie khi không hiển thị hoặc app ở background,"Dùng controller để stop() lottie","Để Lottie chạy loop vô tận ngay cả khi ẩn","Lottie.asset('anim.json', controller: _ctrl)","Lottie.asset('anim.json', repeat: true)",Medium
45,State Management,Immutable State,freezed copywith rebuild,Sử dụng state bất biến (immutable) để tối ưu hóa việc so sánh và rebuild,"Dùng Freezed hoặc Equatable","Dùng mutable class và thay đổi field trực tiếp","@freezed class UserState with _$UserState { ... }","class UserState { String name; } // user.name = 'new'",High
46,Network,Dio Interceptors,dio logger performance,Hạn chế dùng các bộ log interceptor quá chi tiết trong môi trường production,"Chỉ log error hoặc dùng logger xịn","Dùng PrettyDioLogger cho mọi request ở Prod","if (kDebugMode) dio.interceptors.add(LogInterceptor())","dio.interceptors.add(PrettyDioLogger()) // luôn chạy",Low
47,Layout,PhysicalModel Shadows,physical model elevation gpu,Sử dụng PhysicalModel thay cho BoxShadow phức tạp để tận dụng hardware acceleration cho shadow,"Dùng PhysicalModel hoặc Material elevation","Dùng 3-4 lớp BoxShadow để giả lập elevation","PhysicalModel(elevation: 8.0, color: white, ...)",Container(decoration: BoxDecoration(boxShadow: [...])),Medium
48,List & Scroll,NotificationListener,scroll notification listener,Dùng NotificationListener thay vì ScrollController.addListener để tránh rebuild không cần thiết,"Listen ScrollNotification","addListener rồi setState() mỗi pixel cuộn","NotificationListener<ScrollNotification>(onNotification: ...)","scrollController.addListener(() => setState(() {}))",High
49,Assets,Rive vs Lottie,rive vector animation performance,Ưu tiên Rive cho các animation tương tác phức tạp vì runtime nhẹ và mượt hơn Lottie,"Dùng Rive cho interactive UI","Dùng Lottie cho các hiệu ứng quá dài và nặng","RiveAnimation.asset('assets/anim.riv')","Lottie.asset('assets/heavy_anim.json')",Medium
50,Platform,Pigeon for Channels,pigeon type safe platform channel,Sử dụng Pigeon để tạo Type-safe platform channels, giảm lỗi runtime và overhead serialize,"Dùng Pigeon để generate code","Dùng MethodChannel với string keys thủ công","@HostApi() abstract class NativeApi { ... }, MethodChannel('app').invokeMethod('getData')",High
51,Build Optimization,TargetPlatform Check,platform check constant,Tránh check Platform.isAndroid/isIOS trong mỗi build method; nên cache giá trị,"Cache platform vào biến static/final","Gọi Platform.isIOS liên tục trong build","final isIOS = Theme.of(context).platform == TargetPlatform.iOS","if (Platform.isAndroid) { ... } // gọi mỗi lần build",Low
52,State Management,Selector vs Watch,selector provider rebuild,Sử dụng Selector trong Provider để lọc chính xác field cần rebuild widget,"Selector<MyModel, String>(selector: (_, m) => m.name)","context.watch<MyModel>()","selector: (context, model) => model.specificField","final model = context.watch<MyModel>()",High
53,Image & Asset,Image Filtering,imagefilter quality performance,Sử dụng FilterQuality.low cho các ảnh thumbnail để tiết kiệm GPU,"FilterQuality.low hoặc medium","FilterQuality.high cho mọi loại ảnh","Image.asset('thumb.png', filterQuality: FilterQuality.low)","Image.asset('thumb.png', filterQuality: FilterQuality.high)",Low
54,Layout,ConstraintLayout,flutter_constraintlayout complexity,Sử dụng ConstraintLayout (package) cho các UI cực kỳ phức tạp để giảm độ sâu của widget tree,"Dùng ConstraintLayout cho layout phẳng","Dùng 10 level Row/Column lồng nhau","ConstraintLayout(children: [...])","Column(children: [Row(children: [Column(...)])])",Medium
55,Memory,Weak Reference,weak reference memory leak,Sử dụng WeakReference cho các callback dài hơi để tránh giữ lại context/state quá lâu,"WeakReference(this)","Truyền trực tiếp 'this' vào singleton long-lived","final weakRef = WeakReference(this)","GlobalSingleton().registerCallback(() => this.doSomething())",High
56,Async & Network,Gzip Compression,gzip network bundle size,Bật Gzip/Brotli compression trên server và client để giảm dung lượng data truyền tải,"Kiểm tra Accept-Encoding: gzip","Truyền JSON thô dung lượng lớn","dio.options.headers['accept-encoding'] = 'gzip'","// Không cấu hình, nhận 10MB JSON thô",High
57,Build Optimization,Custom Painter ShouldRepaint,shouldrepaint custompainter,Implement shouldRepaint một cách chính xác trong CustomPainter để tránh vẽ lại vô ích,"So sánh các thuộc tính quan trọng","Luôn return true","bool shouldRepaint(OldDelegate old) => old.val != val","bool shouldRepaint(...) => true",High
58,List & Scroll,Scroll Metrics Cache,scroll metrics performance,Hạn chế truy cập ScrollController.position thường xuyên vì nó kích hoạt tính toán layout,"Truy cập metrics trong NotificationListener","Gắn listener vào controller để đọc position liên tục","onNotification: (notification) => notification.metrics","controller.addListener(() => print(controller.offset))",Medium
59,State Management,ValueNotifier,valuenotifier lightweight state,Dùng ValueNotifier cho các state đơn giản thay vì các framework nặng như Bloc/Redux,"ValueListenableBuilder + ValueNotifier","Tạo cả một Bloc cho một biến boolean toggle","ValueListenableBuilder(valueListenable: counter, ...)","BlocBuilder<CounterBloc, CounterState>(...)",Medium
60,Layout,Wrap vs Flow,wrap flow layout performance,Dùng Flow thay cho Wrap nếu bạn cần animation thay đổi vị trí các item liên tục,"Dùng Flow cho custom animation layout","Dùng Wrap và cố gắng animate padding/margin","Flow(delegate: MyFlowDelegate(), children: ...)","Wrap(children: [...]) // animate từng item bên trong",Medium
61,Async & Network,Parallel Requests,future wait parallel network,Sử dụng Future.wait để thực hiện các call API độc lập cùng lúc,"await Future.wait([api1, api2])","await api1; await api2; // nối tiếp","final results = await Future.wait([fetchUser(), fetchPosts()])","await fetchUser(); await fetchPosts();",Medium
62,Image & Asset,MemCacheWidth,image memcache size optimization,Giới hạn kích thước decode của ảnh bằng memCacheWidth/Height để tiết kiệm RAM,"Set memCacheWidth tương ứng với size hiển thị","Load ảnh 4K vào widget 100x100","Image.network(url, memCacheWidth: 300)","Image.network(url) // tốn 50MB RAM cho 1 ảnh",Critical
63,Memory,Timer Leak,timer cancel dispose,Luôn hủy Timer khi không còn sử dụng để tránh leak và lỗi logic background,"timer.cancel() trong dispose","Quên cancel timer","@override void dispose() { _timer?.cancel(); super.dispose(); }","// Quên cancel Timer.periodic",Critical
64,Build Optimization,Skia Cache Warmup,skia shader warmup performance,Sử dụng shader warmup để loại bỏ hiện tượng giật (jank) ở lần animation đầu tiên,"Cung cấp dữ liệu cho --bundle-skia-shaders","Để người dùng tự 'warmup' bằng cách trải nghiệm giật","flutter run --bundle-skia-shaders skia_shaders.json","// Không warmup shader",High
65,Layout,CustomSingleChildLayout,customsinglechildlayout performance,Sử dụng CustomSingleChildLayout để điều khiển size/position của child mà không cần nhiều widget bọc,"Override getConstraintsForChild","Bọc 4-5 tầng Align, Center, Padding, ConstrainedBox","CustomSingleChildLayout(delegate: MyDelegate())","Align(child: Padding(child: SizedBox(...)))",Medium
66,State Management,Debounce State Update,debounce search state performance,Chỉ cập nhật state sau khi người dùng ngừng thao tác (ví dụ slider, text input),"Sử dụng EasyDebounce hoặc Timer","setState() liên tục theo mỗi pixel/keystroke","onChange: (v) => debounce(() => setState(() => val = v)), onChange: (v) => setState(() => val = v)",Medium
67,List & Scroll,ListView CacheExtent,cacheextent scroll performance,Điều chỉnh cacheExtent của ListView để render trước các item sắp xuất hiện,"Set cacheExtent phù hợp (vd: 500)","Để mặc định nếu list có item nặng","ListView.builder(cacheExtent: 500, ...)","ListView.builder(...) // mặc định cache ít",Medium
68,Async & Network,Isolate Compute List,compute heavy list processing,Dùng compute() để xử lý/map các list dữ liệu cực lớn (vd 10.000 items),"Chạy map/filter trong isolate","Xử lý list lớn ngay trên main thread","final processed = await compute(processList, rawData)","rawData.map((e) => heavyTransform(e)).toList()",High
69,Image & Asset,Placeholder FadeIn,image fadein placeholder,Dùng FadeInImage để tránh ảnh hiện lên đột ngột gây cảm giác lag,"FadeInImage.assetNetwork(...)","Image.network(...) trực tiếp","FadeInImage.assetNetwork(placeholder: 'shimmer.gif', ...)","Image.network(url)",Low
70,Build Optimization,Rebuild Mitigation,rebuild mitigation tools,Sử dụng 'debugPrintRebuildDirtyWidgets' để tìm ra các widget đang rebuild lãng phí,"Bật flag trong debug mode","Manual check rebuild bằng log","debugPrintRebuildDirtyWidgets = true;","// Không công cụ hỗ trợ",Medium
71,Layout,Grid Optimization,gridview fixed cross axis,Sử dụng SliverGridDelegateWithFixedCrossAxisCount cho các grid đơn giản để tối ưu hiệu năng,"Dùng FixedCrossAxisCount","Dùng MaxCrossAxisExtent nếu không cần thiết","gridDelegate: SliverGridDelegateWithFixedCrossAxisCount(...)","gridDelegate: SliverGridDelegateWithMaxCrossAxisExtent(...)",Low
72,Memory,VideoPlayer Dispose,videoplayer memory leak dispose,Luôn dispose VideoPlayerController để giải phóng bộ nhớ GPU cực lớn,"controller.dispose()","Thoát màn hình mà video vẫn chạy ngầm","@override void dispose() { _controller.dispose(); super.dispose(); }","// Quên dispose controller video",Critical
73,Platform,MethodChannel Encoding,methodchannel binary encoding,Sử dụng StandardMessageCodec hoặc binary data cho dữ liệu lớn qua Platform Channel,"Truyền dữ liệu dạng Uint8List","Truyền JSON string khổng lồ qua channel","channel.invokeMethod('sendData', bytes)","channel.invokeMethod('sendData', jsonString)",High
74,Startup,Main Initialization,async main initialization,Tránh làm quá nhiều việc async trong main() trước khi gọi runApp(),"Chỉ khởi tạo core services","Khởi tạo tất cả API, Database, Firebase trong main","void main() { setupCore(); runApp(App()); }","void main() async { await initAll(); runApp(App()); }",High
75,Build Optimization,Widget Function vs Class,widget function rebuild class,Ưu tiên dùng Widget Class thay vì Function trả về widget để Flutter tối ưu được element tree,"class MyWidget extends StatelessWidget","Widget buildMyWidget() => ...","const MyWidget()","buildMyWidget()",High
76,State Management,InheritedWidget Optimization,inheritedwidget update check,Override updateShouldNotify một cách thông minh để tránh notify toàn bộ cây con,"So sánh data cũ và mới","Luôn return true","bool updateShouldNotify(Old old) => old.data != data","bool updateShouldNotify(...) => true",Medium
77,Image & Asset,SVG Optimization,complex svg path rendering,Hạn chế dùng SVG có hàng nghìn path (vd: bản đồ chi tiết) vì Flutter render SVG bằng CPU,"Chuyển SVG phức tạp thành PNG","Load trực tiếp SVG dung lượng lớn (>1MB)","Image.asset('complex_map.png')","SvgPicture.asset('complex_map.svg')",Medium
78,Layout,AspectRatio Constraint,aspectratio layout calculation,Dùng AspectRatio để giữ tỷ lệ khung hình mà không cần tính toán thủ công bằng MediaQuery,"AspectRatio(aspectRatio: 16/9, ...)","Dùng width: MediaQuery.of(context).size.width * 0.9","AspectRatio(aspectRatio: 1.0, child: Photo())","Container(width: screenWidth, height: screenWidth)",Low
79,List & Scroll,ScrollToTop Optimization,scroll controller jump performance,Dùng jumpTo() thay vì animateTo() nếu không cần hiệu ứng để tiết kiệm frame,"controller.jumpTo(0)","Luôn animateTo(0) cho mọi thao tác reset","_controller.jumpTo(0.0)","_controller.animateTo(0.0, duration: ...)",Low
80,Async & Network,Socket Management,websocket dispose leak,Đảm bảo đóng WebSocket/Socket connection khi không còn dùng đến,"socket.sink.close()","Mở nhiều connection mà không bao giờ close","@override void dispose() { _channel.sink.close(); super.dispose(); }","// Bỏ mặc socket tự đóng",High
81,Memory,Context Leak,async context leak,Tránh dùng BuildContext sau các lệnh await mà không check mounted,"if (!mounted) return;","context.read<T>() ngay sau await","if (context.mounted) Navigator.pop(context)","await doWork(); Navigator.pop(context)",High
82,Build Optimization,Devtools Repaint Rainbow,devtools repaint rainbow jank,Sử dụng 'Show Repaint Rainbow' trong DevTools để xem các vùng bị repaint liên tục,"Bật Repaint Rainbow trong DevTools","Đoán vùng đang bị repaint","DevTools > Check 'Show Repaint Rainbow'","// Manual debug repaint",Medium
83,Layout,Stack Clipping,stack clip behavior optimization,Sử dụng Clip.none cho Stack nếu các con không tràn ra ngoài để tránh tốn GPU cho việc clip,"clipBehavior: Clip.none","Mặc định Clip.hardEdge cho mọi Stack","Stack(clipBehavior: Clip.none, children: ...)","Stack(children: [...])",Low
84,State Management,Provider Selector List,selector list item rebuild,Sử dụng Selector cho từng item trong ListView để tránh rebuild cả list khi chỉ một item đổi,"Selector<ListModel, Item>(selector: (_, m) => m.items[i])","Consumer<ListModel>() bọc ngoài ListView","Selector<Model, Item>(...)","Consumer<Model>(builder: (context, model, child) => ...)",High
85,Image & Asset,Icon Font vs PNG,icon font performance,Sử dụng Icon Font thay cho ảnh PNG/Vector nhỏ để giảm memory và bundle size,"Dùng Icons.home hoặc Custom Icon Font","Dùng Image.asset('home_icon.png')","Icon(Icons.add)","Image.asset('assets/add.png')",Low
86,Async & Network,Response Caching,dio cache interceptor,Sử dụng cache cho các request GET ít thay đổi để giảm latency và network load,"Dùng dio_http_cache","Luôn gọi mạng cho mọi lần vào màn hình","dio.interceptors.add(DioCacheManager(...).interceptor)","await dio.get(url) // gọi lại 100 lần",Medium
87,List & Scroll,SliverPersistentHeader,sliver header sticky performance,Sử dụng SliverPersistentHeader cho hiệu ứng sticky header mượt mà thay vì thủ công,"Dùng SliverPersistentHeader + Delegate","Dùng Stack + ScrollController listener","SliverPersistentHeader(pinned: true, delegate: ...)","Stack(children: [CustomList(), MyHeader()])",Medium
88,Build Optimization,Heavy Build Isolation,isolate heavy widget build,Bọc các widget cực nặng (vd: Chart, Map) trong const hoặc RepaintBoundary,"RepaintBoundary(child: const HeavyChart())","Để Heavy widget rebuild cùng với UI parent","const MyHeavyWidget(); MyHeavyWidget() // không const",High
89,Memory,Background Service Memory,background fetch memory limit,Hạn chế bộ nhớ khi chạy task background trên iOS/Android để tránh bị OS kill app,"Giải phóng tối đa resource khi chạy background","Chạy task background nặng như lúc đang foreground","// Giải phóng cache trước khi chạy background task","// Load 100MB data trong background task",Critical
90,Layout,BoxConstraints Passing,boxconstraints tight loose layout,Hiểu và dùng constraints (tight/loose) để tránh lỗi 'Unlimited Height' trong ListView,"BoxConstraints.loose(...)","Luôn dùng BoxConstraints.expand()","ConstrainedBox(constraints: BoxConstraints.loose(...))","SizedBox.expand()",Medium
